word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.21675595297151448,0.053787459818148614,0.2016811612846789,0.05636071229718057,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.515992138640331,0.10553069624025094,0.2891509598200342,0.17435820259698753,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.41152242583318643,0.047285668780291765,0.41152242583318643,0.03992983037532947,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.5430245399402485,0.09688210091741954,0.5491618450082782,0.0982711941065753,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.4406560158272363,0.039187412210845644,0.44065601582723635,0.09192233857621038,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.6546809133379707,0.03797701263452791,0.12373314979308672,0.04507124427029854,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.04515389748804235,0.09457235836278542,0.038345383808209205,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.25549587656506806,0.07921032183599122,0.24724841422885602,0.09744828307709547,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.08595704762338069,0.03699746411727162,0.03194702602027447,0.030727621912936435,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.416365459517478,0.05231152719997244,0.2140014839565333,0.0582061985567047,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.31692867512754946,0.04695829502215266,0.09479065328869128,0.05073008187645258,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.34981346956065007,0.052639858052371424,0.3051292745456349,0.07339815174857262,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.5609550879752262,0.03956713692392788,0.5609550879752262,0.061679295863910584,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.48645043408005445,0.05897964158907618,0.5132527616343346,0.053945163107683665,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.1464191610209494,0.05026296754580296,0.5362381418875662,0.07872858587671251,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.4928098544708013,0.05544783952075653,0.3996328036331479,0.06067833940799039,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.25842455097408423,0.065733822823346,0.25842455097408423,0.05359673953952148,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.35631836945356177,0.1624125392132551,0.4311226759606003,0.17597785155645268,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.1232945440097883,0.05870103757700264,0.08471580998828399,0.039738006846862975,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.2891085188622245,0.08710531669256996,0.1924146765344028,0.1544409942433064,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.03412104132616424,0.020667681829948107,0.05254001625502374,0.018889077152563907,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.6148796077657193,0.06901614415194281,0.6148796077657193,0.035127026574528666,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.4664871666725628,0.030838803507733655,0.3584732421871113,0.03676624308073555,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.038269027688897506,0.037255791674707536,0.06882555174714387,0.0784533314729595,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.07444046705740372,0.029426914932330725,0.08452667831620979,0.025185379180786702,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.16183043288783774,0.08855356685758047,0.11357968224846177,0.07675703882656842,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.2626474931036434,0.08158477737295114,0.19372912745534376,0.08746370678076253,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.42717307097437823,0.06999159314449076,0.6498145702893029,0.06679097606806796,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.46526993756177637,0.0783234918251736,0.13284073876741115,0.07398160188744424,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.1435698308999089,0.025603952763754843,0.051052053536262756,0.02180274767861791,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.23262565069414992,0.11318409893706756,0.46572629930907067,0.10902446097258464,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.34390851249583954,0.07473235890101108,0.08332291011935995,0.06750746815300998,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.07756546333986583,0.04780049471606715,0.1109129188194548,0.018264209021132367,3.5,2.32,1.94,70.0,0.5138379579649178,0
puppeteer,9,9,8.21,0.5621606181648764,0.05411527199343126,0.112858726020673,0.03315243048730466,4.17,5.8,1.24,73.0,0.5620214975383124,1
rink,4,5,8.69,0.12021168252195676,0.07678215286636088,0.0741887312783188,0.04632972806605497,4.56,5.67,2.14,20.0,0.5640317572959761,0
snarl,5,5,8.75,0.48807340632535917,0.08853480821488167,0.49255388292241864,0.09075051035876139,4.0,2.45,0.53,36.0,0.517023155638789,0
retaliate,9,9,10.0,0.06621337640294613,0.03428230406428301,0.4579366019107054,0.039495823183082986,2.25,3.55,1.25,58.0,0.5397534649956274,0
splice,6,6,13.32,0.5234783500341785,0.08889560689080878,0.5540388690649574,0.06478254163708837,3.19,4.74,0.39,36.0,0.5964084423227906,0
period,6,6,6.78,0.48388441896556755,0.026462342313487895,0.7060817130594107,0.024546578389627288,3.31,3.33,27.78,45.0,0.5707225127383169,0
useless,7,7,7.05,0.3354963183547176,0.06254534732065319,0.3354963183547176,0.0622137361686877,1.78,2.8,19.94,50.0,0.5000741695760914,1
enamel,6,6,12.9,0.48323955303207,0.026713484039768615,0.041944265714425874,0.023076181163623807,4.21,5.42,0.57,46.0,0.5438963730343079,0
teeny,5,5,5.42,0.2902826869659927,0.1065928081563354,0.11991428185947066,0.08651930802417857,3.17,5.62,2.51,35.0,0.5713091343607777,0
boy,3,3,3.67,0.6269123497391467,0.2099368330629178,0.648331567449613,0.2344766837848379,4.76,5.84,529.82,20.0,0.3936697997511812,0
puck,4,4,7.79,0.17403280638264487,0.06675032267109275,0.16385133914056083,0.12578872000565625,4.5,4.28,2.88,21.0,0.6129297443409079,0
pumpkin,7,8,4.78,0.5330811341262739,0.07442731020381922,0.5330811341262739,0.08436384614811969,4.9,7.0,10.84,52.0,0.5623069451258635,0
reciprocate,11,11,13.0,0.5313156716386737,0.0353580133527848,0.5313156716386737,0.036087575401588426,2.15,6.6,0.51,78.0,0.6125994952388958,1
malt,4,5,9.18,0.3534696448573128,0.04639608740470094,0.5615117198691557,0.04911430332851983,4.57,6.14,1.65,20.0,0.5032399879443589,0
motherless,10,8,7.39,0.08937037878383382,0.05062884041991445,0.1170526795646665,0.06523173320037716,3.08,1.9,0.57,67.0,0.5263168108323913,1
personnel,9,9,11.26,0.3021170027556732,0.026440061407745578,0.15224460800853476,0.017558749326842954,3.56,5.37,16.37,68.0,0.5536170548882344,0
savvy,5,5,12.35,0.06533439243481308,0.05607902970440646,0.12357600986627039,0.048904356260910005,2.03,6.4,1.06,38.0,0.6302715946719,0
radical,7,7,11.9,0.38821515927757416,0.038693868432733584,0.4502727807833769,0.0275222342201014,2.1,4.36,4.27,48.0,0.5745935753540531,1
buck,4,4,7.68,0.42725643725277085,0.11194104838840811,0.44327947937179224,0.2155426172324627,4.67,6.5,33.75,20.0,0.5601767605332507,0
pituitary,9,11,13.06,0.033127685202282806,0.015672104609505633,0.06640702650323625,0.016263166571379092,3.33,4.79,0.63,78.0,0.5331314346182443,0
flap,4,5,7.21,0.15518454831093487,0.06376515769882185,0.16270326937958277,0.07990114887817402,4.14,5.74,2.65,25.0,0.5721188531782204,0
entrails,8,8,14.06,0.06937276214186593,0.049315609946567564,0.0861952127477637,0.053306862482837815,4.58,3.37,0.88,54.0,0.5154983279095123,0
stairs,6,5,4.22,0.549893252883318,0.07519884903559561,0.549893252883318,0.06816457463966308,5.0,5.48,23.76,36.0,0.4734896066099178,0
whistle,7,5,5.42,0.1990853693701435,0.05204118876351429,0.43972160235055296,0.07638980219698163,4.42,5.7,15.45,35.0,0.5585843760246847,0
champagne,9,8,10.26,0.566515137814778,0.0484529257315086,0.1108374304922793,0.037523313413775856,4.82,6.86,31.29,62.0,0.4579285172120663,0
cake,4,4,3.26,0.4458922473142535,0.08386224837647263,0.22367476372605846,0.19721897812686337,4.81,7.58,45.06,20.0,0.46907815340234976,0
percentile,10,9,12.94,0.02741600138638884,0.018891977861599258,0.11344615630271135,0.01922013711327902,2.97,4.55,0.65,64.0,0.6321401584286693,1
enforce,7,6,9.11,0.4662193864612335,0.06253216062751477,0.39056987098345536,0.04508069976657222,2.4,5.32,1.69,48.0,0.5597413761991105,1
unseen,6,7,9.56,0.08752282264105687,0.04143997569852404,0.14687127222790067,0.051213651533183545,1.67,4.38,2.16,51.0,0.5834279778744593,1
potassium,9,8,11.89,0.1178857295945688,0.020666345851932822,0.018274317402857707,0.0192180433877085,4.23,6.1,1.65,81.0,0.4705605491190187,0
phlegm,6,5,11.27,0.06063935340862266,0.04046210302294507,0.21443858470015356,0.07207512151639037,4.48,2.52,0.67,58.0,0.5314218865608782,0
excite,6,6,6.61,0.2619532488292175,0.03952670789589247,0.25849694582491234,0.04745171946746645,1.97,7.79,2.14,40.0,0.5981665150218836,0
putrid,6,8,13.14,0.0817732322248311,0.05199285568930819,0.14664702157110943,0.052649735658184135,3.46,2.8,0.63,49.0,0.463928878906266,0
grilled,7,6,7.26,0.08317367067537158,0.08334028366962189,0.09534661966453005,0.07485961508190629,4.23,6.67,2.24,37.0,0.44048949426458794,0
prospector,10,11,11.78,0.5440111572589718,0.038555469015461336,0.16990510728945102,0.041547483328226796,3.57,4.84,0.59,51.0,0.5735855510371543,1
winch,5,5,12.22,0.06697379499793732,0.05084488885693274,0.4888261649266668,0.04408909416923832,4.4,4.05,1.35,31.0,0.5571364065879237,0
brush,5,5,3.78,0.46321920726304117,0.08685410891598438,0.5410383964449883,0.08429850662471834,4.54,5.47,14.16,35.0,0.5361468675251954,0
beige,5,4,7.74,0.46493307643525833,0.04675404456428536,0.14352860158282976,0.047999110830952305,3.41,5.26,1.35,39.0,0.5458315971635267,0
motel,5,6,7.11,0.24043007962411553,0.06623446110817378,0.53541064763436,0.063991816326751,4.93,5.3,18.18,35.0,0.5560279865938138,0
porch,5,4,5.4,0.10008783232541033,0.06614185760520619,0.19085552619827492,0.12996111138742764,4.92,6.4,9.63,33.0,0.5469110767883735,0
allergy,7,6,8.11,0.0899766145882541,0.03532083178003927,0.038977450402018984,0.025013342678909117,3.68,2.9,1.69,53.0,0.4919002005326588,1
church,6,4,5.15,0.633302219085055,0.03849920838372986,0.651049485871095,0.04649792363990922,4.9,5.21,69.67,45.0,0.4530475320857166,0
jaded,5,6,11.61,0.16547592843471004,0.0546908752552443,0.12495650395786437,0.04641463414579209,2.07,3.62,0.78,36.0,0.5950640946293959,0
ammunition,10,10,9.67,0.09739285574346408,0.02737842623696983,0.08581258061549545,0.01673293872041466,4.88,4.59,5.88,70.0,0.4759779711597022,0
dingo,5,6,11.29,0.5986276042965679,0.11208837309675625,0.5986276042965679,0.14663480809435853,4.73,5.65,1.29,31.0,0.4848346213176266,0
pollen,6,6,7.86,0.0820365012657881,0.035332082472250205,0.44430369991173974,0.03252692257924245,4.86,3.81,1.22,39.0,0.5713586661525726,0
immobile,8,7,10.05,0.14862906338476975,0.0350196477137764,0.17514360179149904,0.027718772476677568,2.86,2.89,0.49,58.0,0.5732890715022256,1
methodical,10,9,12.74,0.07970521893617848,0.017597249610064553,0.09437568432469558,0.027211790101521718,1.93,5.11,0.51,70.0,0.6164885304127639,1
flannel,7,6,9.44,0.19501930058517364,0.040533939410068734,0.13747194574408048,0.06238368015529821,4.43,5.55,1.37,48.0,0.4973097497242477,0
syphilis,8,8,14.67,0.16956231844986264,0.024975798672073533,0.09275337964209342,0.031219365090383894,3.93,2.17,1.92,72.0,0.5184705969840477,0
hallowed,8,6,11.22,0.27708028096281173,0.05523457647499824,0.27708028096281173,0.05658361068997303,1.86,5.45,2.29,42.0,0.6350571250639608,0
gratitude,9,10,8.26,0.3632809268811131,0.041981584165863756,0.3632809268811131,0.04976971228531113,2.56,6.67,7.75,64.0,0.5124766116914979,1
chauffeur,9,6,9.84,0.5231090642142006,0.06728386090546072,0.18423573306822055,0.07483520795841307,4.43,5.42,5.63,68.0,0.5527983221819206,0
poke,4,4,4.95,0.0802105232040476,0.06900481713574078,0.5094549539915549,0.1851134598325714,4.22,4.14,5.84,20.0,0.5867208647509663,0
exhibit,7,8,9.11,0.5536969733902958,0.03131097811670177,0.593995857540182,0.0984543840307835,3.5,5.77,7.61,57.0,0.6142796774440836,1
chop,4,4,6.74,0.36339319856876334,0.0975768256973629,0.3942189437603824,0.0998751073662114,4.48,4.6,13.61,22.0,0.5290541647073363,0
chunky,6,6,7.42,0.1468203213166835,0.12682320293105492,0.05755964328727735,0.110800723985917,3.69,4.1,1.39,35.0,0.5874044814580356,1
nincompoop,10,10,6.82,0.47461012866577557,0.03023460826187836,0.47461012866577557,0.03248572736145277,2.4,5.0,0.82,96.0,0.46886660267916486,0
bossy,5,5,7.06,0.20757328803065034,0.09686685216636676,0.17668337978808413,0.08493211601562413,2.21,2.86,1.75,37.0,0.5499569560989624,1
