word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.11302607219148442,0.05136332796376395,0.1221787572931223,0.0611376644401976,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5127029945559475,0.09447932272182002,0.28773240114110704,0.15949465577570807,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.41152242583318643,0.04497567979500911,0.41152242583318643,0.040344907665987965,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.5724096372393378,0.09595037855239884,0.5807717048580261,0.10303766558097219,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.4406560158272364,0.09841528212600632,0.44065601582723635,0.09013065125122698,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.6379182112019871,0.04092242915521233,0.15372313886162697,0.04402036835397475,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.044159949732820225,0.12144962803037043,0.036881102873799414,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.1484742667533672,0.0775354464253146,0.1510356090439953,0.08155496808758676,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.045638123436634835,0.03662249747702973,0.06862056152842738,0.03030522519636533,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.4045573236763277,0.057227371573114985,0.3909998343772293,0.06136778531122585,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.357990118762681,0.04915535850287369,0.040444268045955585,0.04832170969521736,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.3170061651713775,0.048839945276458095,0.18716116013064707,0.0661226258057029,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.5609550879752262,0.043291304068213785,0.5609550879752262,0.06912599069515142,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.48645043408005445,0.059419777287409645,0.5132527616343346,0.052814011335089686,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.05278830335159414,0.05990275939702804,0.5324951086403497,0.09428669371054423,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.6308439511344265,0.05727439340480335,0.6308439511344265,0.06083279660184568,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.25842455097408423,0.08580865796096088,0.25842455097408423,0.07305490442108001,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.34408166538550145,0.1671737278797253,0.4118895218888846,0.17508764429198906,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.15787029739893835,0.0607715932491772,0.042149077242839304,0.039775384194124075,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.2891085188622245,0.08069256292811514,0.09663602563289792,0.06630787560504041,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.08062165150115655,0.021406848195765122,0.04215096200153092,0.028528601939246275,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.6148796077657193,0.05386157893197616,0.6148796077657193,0.0335155004582385,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.5328562454556378,0.030836632386312,0.35598559778679717,0.03734809246192931,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.3375191721020147,0.03447522952411579,0.2624347242056976,0.06271111936607769,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.08794401766783487,0.024681559525543535,0.11091992833066573,0.024086690272161256,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.13720241021108293,0.08946928616710853,0.1741194298088023,0.07589783083343338,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.26264749310364344,0.08418698155615653,0.1825585732546601,0.0891032870211035,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.5460285036021034,0.06141282888645069,0.6698540792250544,0.06284098138188403,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.5692487898380727,0.09325464949379532,0.16329997022364054,0.08185506080194263,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.12045323186537053,0.017979251941535875,0.20860330997808965,0.02374862510133268,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.18675888166038102,0.11162888017455695,0.46572629930907067,0.10816963479126193,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.49288457744421194,0.07767173377875572,0.0855684818750614,0.07057558674599047,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.06849233102602707,0.053442640921661407,0.09395929068652445,0.018159020081587617,3.5,2.32,1.94,70.0,0.5138379579649178,0
puppeteer,9,9,8.21,0.5621606181648764,0.057848319142782476,0.0696720123969897,0.03687668980089042,4.17,5.8,1.24,73.0,0.5620214975383124,1
rink,4,5,8.69,0.12645598036966696,0.0444377777181002,0.058559784024441106,0.04638985136379028,4.56,5.67,2.14,20.0,0.5640317572959761,0
snarl,5,5,8.75,0.49058367453698715,0.08579985715573496,0.49562372290993656,0.08943168214710187,4.0,2.45,0.53,36.0,0.517023155638789,0
retaliate,9,9,10.0,0.4316340359567159,0.03561289902806735,0.4429065642227113,0.040706606742155794,2.25,3.55,1.25,58.0,0.5397534649956274,0
splice,6,6,13.32,0.5234783500341785,0.07829298119265278,0.5540388690649574,0.06188148580963064,3.19,4.74,0.39,36.0,0.5964084423227906,0
period,6,6,6.78,0.141141078180717,0.022688227367852132,0.14779280805281833,0.02272592834447304,3.31,3.33,27.78,45.0,0.5707225127383169,0
useless,7,7,7.05,0.3325647767254144,0.062037471443119774,0.3325647767254144,0.06419652512183283,1.78,2.8,19.94,50.0,0.5000741695760914,1
enamel,6,6,12.9,0.05030529526872315,0.024190999738660224,0.08304882591781633,0.022497144299902412,4.21,5.42,0.57,46.0,0.5438963730343079,0
teeny,5,5,5.42,0.2902826869659927,0.11578103411750233,0.3266110784602751,0.08836220081689651,3.17,5.62,2.51,35.0,0.5713091343607777,0
boy,3,3,3.67,0.40961237349585067,0.2051661775694946,0.39304541381237246,0.2124259990401212,4.76,5.84,529.82,20.0,0.3936697997511812,0
puck,4,4,7.79,0.1642353507070294,0.06602944472497417,0.1558280240625797,0.11968569475692359,4.5,4.28,2.88,21.0,0.6129297443409079,0
pumpkin,7,8,4.78,0.5330811341262739,0.0756415860049125,0.5330811341262739,0.08922489127954956,4.9,7.0,10.84,52.0,0.5623069451258635,0
reciprocate,11,11,13.0,0.5313156716386737,0.03459479090624566,0.5313156716386737,0.030345032200059595,2.15,6.6,0.51,78.0,0.6125994952388958,1
malt,4,5,9.18,0.18052737746973085,0.04595156715560604,0.5615117198691557,0.05086973021635592,4.57,6.14,1.65,20.0,0.5032399879443589,0
motherless,10,8,7.39,0.12080677083714089,0.054451297631740905,0.165239483340306,0.06920309661689623,3.08,1.9,0.57,67.0,0.5263168108323913,1
personnel,9,9,11.26,0.3021170027556732,0.026187339456912085,0.0845343090967452,0.01788638040516009,3.56,5.37,16.37,68.0,0.5536170548882344,0
savvy,5,5,12.35,0.06227471758093615,0.05057091582249135,0.12299153012987675,0.04623714607874162,2.03,6.4,1.06,38.0,0.6302715946719,0
radical,7,7,11.9,0.3051008436821773,0.029381062219266115,0.016718840213900164,0.022998616675812458,2.1,4.36,4.27,48.0,0.5745935753540531,1
buck,4,4,7.68,0.4226973290056346,0.11540082828630649,0.44127055158105055,0.2599098222549439,4.67,6.5,33.75,20.0,0.5601767605332507,0
pituitary,9,11,13.06,0.1136839012245528,0.022318150374891783,0.07663480056494743,0.01714187854515775,3.33,4.79,0.63,78.0,0.5331314346182443,0
