word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.1888599012036167,0.05303735395246721,0.07738511301109892,0.06029439767117587,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5156700623287729,0.09587341513972064,0.28901379875756444,0.15524207515841643,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.07177433812413961,0.04444801041679214,0.0764092991163584,0.04114187785675221,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.5381387543088678,0.09289221303783178,0.5418586609642966,0.09753931783273143,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.3528161001754237,0.031463328758269724,0.35281610017542364,0.058906761410631225,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.6379182112019871,0.041631562093623266,0.07852485614919942,0.04767421328773024,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.04140064605464576,0.0879955153576607,0.03467008922399447,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.15287205581858962,0.07849468899110043,0.1561362092672953,0.09915550668615919,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.5424972409583413,0.05380293157056891,0.030725834648082685,0.03929670152816942,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.416365459517478,0.05112559630569704,0.2183771614061398,0.05847189923616355,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.3590708145447648,0.0547656419235697,0.09479065328869128,0.05428530789850948,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.29176038084347217,0.047871426817824476,0.1835601538620587,0.06773873608438136,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.5609550879752262,0.04012159454541003,0.5609550879752262,0.06027875255812037,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.48645043408005445,0.061989066701854695,0.5132527616343346,0.05577454087935321,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.08926522070189159,0.047084242727546397,0.04166733388384137,0.05321836594533754,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.34909320749650585,0.05754331874344922,0.3996328036331479,0.06165760029439441,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.161232812217872,0.0706800765683926,0.17092821754362245,0.06933335906111088,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.18615457051287515,0.16140307023182085,0.2554378767273519,0.17608520979061945,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.11263936110947477,0.060170148972653416,0.09029898076280646,0.04168253701250468,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.2891085188622245,0.07975870913094064,0.14954860672512868,0.06568182918059057,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.06892846480470964,0.028257821456698667,0.036809753557855755,0.032647881183109004,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.6148796077657193,0.07933930306055705,0.6148796077657193,0.03359361807165864,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.26339448989468517,0.027627396653987998,0.1719821924229674,0.032485731705407986,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.08210004917858575,0.038928482676363854,0.0740081097035437,0.08434712550515254,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.11096030469646365,0.021582227068652652,0.12477202916349861,0.022830815857684397,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.14258409190943408,0.08408808883894277,0.043019313303691194,0.0749679361976167,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.26553937580687537,0.08420276485965365,0.2035382144712446,0.09115471859002106,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.4848408615213721,0.06545266217860904,0.6561007414423949,0.0637330385391867,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.5718842473490677,0.08512278371570656,0.1101487061787372,0.0790808809160413,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.1435698308999089,0.01758157365766206,0.06461412559087866,0.019282319425806577,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.06658412903547452,0.1212473754276003,0.46572629930907067,0.11133751082791415,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.227530698040738,0.07159725256601021,0.08137680455237903,0.06410111892789909,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.07647336835203146,0.04855893825193142,0.04436454965393216,0.0174435611107406,3.5,2.32,1.94,70.0,0.5138379579649178,0
puppeteer,9,9,8.21,0.5621606181648764,0.050911755826584575,0.08937024344873015,0.03343852981117439,4.17,5.8,1.24,73.0,0.5620214975383124,1
rink,4,5,8.69,0.12789495109598364,0.043356861781630854,0.054111649003685466,0.06971704315555359,4.56,5.67,2.14,20.0,0.5640317572959761,0
snarl,5,5,8.75,0.48807340632535917,0.09028685326748752,0.49255388292241864,0.09531846773975781,4.0,2.45,0.53,36.0,0.517023155638789,0
retaliate,9,9,10.0,0.4316340359567159,0.03785603448124355,0.4316340359567159,0.040213788688218094,2.25,3.55,1.25,58.0,0.5397534649956274,0
splice,6,6,13.32,0.5234783500341785,0.07314688266342723,0.5540388690649574,0.06063794462398059,3.19,4.74,0.39,36.0,0.5964084423227906,0
period,6,6,6.78,0.5206649467710459,0.02498465840106304,0.7060817130594107,0.02396031466297485,3.31,3.33,27.78,45.0,0.5707225127383169,0
useless,7,7,7.05,0.3354963183547176,0.06250074917658466,0.3354963183547176,0.0647834818469938,1.78,2.8,19.94,50.0,0.5000741695760914,1
enamel,6,6,12.9,0.48323955303207,0.026147934864692256,0.11537238830714235,0.0220083406355461,4.21,5.42,0.57,46.0,0.5438963730343079,0
teeny,5,5,5.42,0.09479564206618418,0.1122114173175245,0.1193180669684592,0.08905978484745258,3.17,5.62,2.51,35.0,0.5713091343607777,0
boy,3,3,3.67,0.5865404967998242,0.20775952468349843,0.5980425219313965,0.12361358402434366,4.76,5.84,529.82,20.0,0.3936697997511812,0
puck,4,4,7.79,0.1642353507070294,0.06611847099062726,0.1642353507070294,0.12874668040438342,4.5,4.28,2.88,21.0,0.6129297443409079,0
pumpkin,7,8,4.78,0.10713058117347257,0.05731814952734119,0.14425787983866933,0.062070955325227654,4.9,7.0,10.84,52.0,0.5623069451258635,0
reciprocate,11,11,13.0,0.23452129859767573,0.027955804626612027,0.11439302035416972,0.032671217305004954,2.15,6.6,0.51,78.0,0.6125994952388958,1
malt,4,5,9.18,0.1781332555508233,0.04635195928321005,0.5615117198691557,0.05110287644668622,4.57,6.14,1.65,20.0,0.5032399879443589,0
motherless,10,8,7.39,0.13739773246272002,0.05305950120222029,0.1957069014506073,0.06009645431458844,3.08,1.9,0.57,67.0,0.5263168108323913,1
