word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.06715683489099551,0.05105039013596162,0.14053199838907365,0.057161098187404634,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5057868498520528,0.09692069013035796,0.28509923226569955,0.149961265045581,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.41152242583318643,0.04565396327141997,0.41152242583318643,0.03985358656445418,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.6206878353357049,0.10135942202643414,0.6324042686845166,0.10067019840683648,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.3925742207814194,0.03510250492999227,0.3925742207814194,0.07370393751820506,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.6344638791595086,0.041440677390985434,0.06391984993924646,0.05144869467842222,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.04214766517459272,0.0856247406437182,0.03910278759383112,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.1685509783780999,0.0789992287039396,0.15742569741734005,0.08941118909691609,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.5424972409583413,0.046805330807619026,0.04646229946895857,0.03946439129201682,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.20121865334071024,0.05252092357340579,0.20954258769494877,0.052206795960338684,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.3590708145447648,0.05657922024646676,0.040444268045955585,0.05570148477061442,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.16444334215896475,0.04845778116296188,0.09533550028164382,0.06664717472966987,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.5609550879752262,0.041359987306445994,0.5609550879752262,0.06332175922143778,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.4527963671642299,0.05848866260098819,0.44686373676289415,0.05163840125287162,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.4873496124164406,0.06000067111147701,0.5086683189666198,0.09524765918037988,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.5548251732617053,0.06108867773336615,0.6190474640170143,0.06378784769299732,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.25842455097408423,0.07235616826817155,0.25842455097408423,0.0716167577075602,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.3517647827395118,0.1494357906506443,0.4102364446448757,0.17874564614192398,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.12308113313892845,0.060401200341324165,0.10233605679018926,0.03995016912440023,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.2891085188622245,0.08470213198715358,0.12757941790715255,0.0714357259879654,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.06474888704346678,0.03014203764403708,0.04213210708752539,0.019757809106650766,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.6148796077657193,0.07670117386778787,0.6148796077657193,0.03487155163393204,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.5305059068425579,0.08120680281494512,0.357896980084604,0.03676761225065686,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.08145374992311931,0.036700493078698125,0.10105457957014785,0.08333477987663938,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.10039263590766756,0.01773250993496352,0.09858397150939757,0.020376980931731497,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.07829550179372415,0.0795834008665063,0.10324868079647853,0.07360839339686161,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.26553937580687537,0.08399779985684469,0.19183957358066991,0.08634781604690282,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.472020014586977,0.06655748478960424,0.6575252927422176,0.0667036119162378,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.5763370106757444,0.08833265531387764,0.1389613029472743,0.08023246854435064,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.10424782547528146,0.01769314951341922,0.08228175516924327,0.024535431747678752,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.08588183912442429,0.12731473850035768,0.4669822555840896,0.10483828010101373,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.43515296412596355,0.07545783545913504,0.08284705595899272,0.06877497445655555,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.08873585747860875,0.05218028287226802,0.036013693001230064,0.033840251537556765,3.5,2.32,1.94,70.0,0.5138379579649178,0
puppeteer,9,9,8.21,0.5621606181648764,0.05008880312259708,0.07980934037721774,0.03345303944025537,4.17,5.8,1.24,73.0,0.5620214975383124,1
rink,4,5,8.69,0.1252077335403997,0.04212444057709777,0.058559784024441106,0.043943945406284324,4.56,5.67,2.14,20.0,0.5640317572959761,0
snarl,5,5,8.75,0.48807340632535917,0.09239316257034035,0.49255388292241864,0.09453776101929488,4.0,2.45,0.53,36.0,0.517023155638789,0
retaliate,9,9,10.0,0.4316340359567159,0.03807083716718353,0.4429065642227113,0.040579591730429236,2.25,3.55,1.25,58.0,0.5397534649956274,0
splice,6,6,13.32,0.5234783500341785,0.07474340034606927,0.5234783500341785,0.055175558085239544,3.19,4.74,0.39,36.0,0.5964084423227906,0
period,6,6,6.78,0.47457092861015987,0.024843498053510833,0.7060817130594107,0.02402275989579812,3.31,3.33,27.78,45.0,0.5707225127383169,0
useless,7,7,7.05,0.3354963183547176,0.06175044803651137,0.3354963183547176,0.06192036106945873,1.78,2.8,19.94,50.0,0.5000741695760914,1
enamel,6,6,12.9,0.06462553709889118,0.024516171874184558,0.10980746459288743,0.022013690587509384,4.21,5.42,0.57,46.0,0.5438963730343079,0
teeny,5,5,5.42,0.2902826869659927,0.10975754986827364,0.10069636783744737,0.08927818950515007,3.17,5.62,2.51,35.0,0.5713091343607777,0
boy,3,3,3.67,0.5874239195936737,0.22007826896814192,0.5890855865864826,0.12558254977499256,4.76,5.84,529.82,20.0,0.3936697997511812,0
puck,4,4,7.79,0.16325446471704813,0.0644601382216223,0.15536870544117792,0.12644615900853448,4.5,4.28,2.88,21.0,0.6129297443409079,0
pumpkin,7,8,4.78,0.5330811341262739,0.0735890065702389,0.5330811341262739,0.08146558569816084,4.9,7.0,10.84,52.0,0.5623069451258635,0
reciprocate,11,11,13.0,0.5313156716386737,0.03788426518428103,0.5313156716386737,0.03721384729117623,2.15,6.6,0.51,78.0,0.6125994952388958,1
malt,4,5,9.18,0.10668354278422805,0.042875406073115546,0.6091969997977867,0.0471766514173517,4.57,6.14,1.65,20.0,0.5032399879443589,0
motherless,10,8,7.39,0.24941980224245155,0.05686535675177334,0.13291500367450934,0.06455004688040737,3.08,1.9,0.57,67.0,0.5263168108323913,1
personnel,9,9,11.26,0.3021170027556732,0.026299151845620896,0.24879483281801934,0.017889710053741993,3.56,5.37,16.37,68.0,0.5536170548882344,0
savvy,5,5,12.35,0.08466283127892092,0.05575365206247925,0.114517981348131,0.04707384147991585,2.03,6.4,1.06,38.0,0.6302715946719,0
radical,7,7,11.9,0.40092715531862694,0.036516493929819135,0.4502727807833769,0.026363471289670457,2.1,4.36,4.27,48.0,0.5745935753540531,1
buck,4,4,7.68,0.41072401102433004,0.11369563706504261,0.424761344927675,0.24287618357465285,4.67,6.5,33.75,20.0,0.5601767605332507,0
pituitary,9,11,13.06,0.046128685121789775,0.024860226748942726,0.05922886047501796,0.015541285510212464,3.33,4.79,0.63,78.0,0.5331314346182443,0
flap,4,5,7.21,0.4537118451027234,0.07114254216492168,0.48104255456962597,0.08139851821235806,4.14,5.74,2.65,25.0,0.5721188531782204,0
entrails,8,8,14.06,0.14793595578447394,0.04606599920824729,0.14370999261420686,0.05041264109824847,4.58,3.37,0.88,54.0,0.5154983279095123,0
