word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.10726461348539881,0.05039376577275587,0.1399963577192866,0.05878773769985272,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5083174691101028,0.04334195029561697,0.29108113255855417,0.15432028497803105,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.41152242583318643,0.05070322079505033,0.41152242583318643,0.04028126979570034,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.2884495564611808,0.08712948570077442,0.2238294950838565,0.09840657580197879,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.38761394692240164,0.033396755366373904,0.38761394692240164,0.03525319318785611,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.31790298860593674,0.03297686903386822,0.14803168086432403,0.038848739382408584,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.04436239985192271,0.06162043360972289,0.04110761614572366,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.28581697295837916,0.07199741624485222,0.15528227761792,0.08281041620663383,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.5424972409583413,0.058673371607593484,0.14157259624161003,0.04244691558258327,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.4045573236763277,0.05481814355587082,0.3909998343772293,0.0626877030897287,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.193459906908458,0.05394969659978698,0.09479065328869128,0.05413228371978415,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.3561869002289401,0.05324903225622636,0.3693556389950888,0.07979497908354237,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.5609550879752262,0.0406272537389976,0.5609550879752262,0.06490556203550327,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.15595700183916864,0.0526627773032134,0.15815407493778288,0.04991581490308801,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.10712672421132886,0.056112043982420125,0.5324951086403497,0.09816110446370528,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.6308439511344265,0.06495951163800737,0.6308439511344265,0.06271471135300175,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.046520730218118714,0.03443570182478297,0.09360439916047975,0.0343183147090052,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.35572638747294033,0.08675999532205167,0.43249962585818097,0.08587387328617538,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.12580756435041304,0.05904465495386656,0.055890319814463955,0.044420276912164866,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.2891085188622245,0.09203356633166548,0.09563698364175156,0.07208042887756284,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.08308768444409158,0.03281462011217749,0.08437196777950284,0.020036921920376802,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.1322320833831405,0.0645125047087984,0.09225885200971172,0.03459847657787467,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.5032643425304011,0.03392099329506002,0.35699055147918113,0.03794849128630731,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.2565832731346955,0.04357424362219319,0.1800413631195631,0.10118389898805069,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.11593924008198205,0.028160718014164875,0.22288148042415187,0.025929246032978796,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.052619623979907555,0.0837085768490141,0.11193850121917866,0.07372887984666747,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.2558405543516523,0.09323014531948208,0.21751395164286744,0.10486954599382857,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.157259585281882,0.0652052995582801,0.14156340356817004,0.06299348236034148,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.48417126761702783,0.07216279699040394,0.18047070911079774,0.07785546321850216,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.12045323186537053,0.017627769129557755,0.035614523658638465,0.023144849455145524,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.12085682755945312,0.05327588311764804,0.4669822555840896,0.10626644248324034,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.19701005918818848,0.07443699219654253,0.09130018197301228,0.06364199628440702,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.08331968628568152,0.036328209889137,0.1018872513257341,0.016320894588590557,3.5,2.32,1.94,70.0,0.5138379579649178,0
puppeteer,9,9,8.21,0.04583915181047864,0.048187484639409375,0.17392658776175823,0.027148503198632618,4.17,5.8,1.24,73.0,0.5620214975383124,1
rink,4,5,8.69,0.13337161684475013,0.038015105100015587,0.0741887312783188,0.043789883290036434,4.56,5.67,2.14,20.0,0.5640317572959761,0
snarl,5,5,8.75,0.3872626828915236,0.08357808997812992,0.20051146365050315,0.08631331486407845,4.0,2.45,0.53,36.0,0.517023155638789,0
retaliate,9,9,10.0,0.07614009129212342,0.03384229265360917,0.4579366019107054,0.03792869681211911,2.25,3.55,1.25,58.0,0.5397534649956274,0
splice,6,6,13.32,0.4422507760090606,0.07348975208726881,0.4422507760090606,0.048505113551158406,3.19,4.74,0.39,36.0,0.5964084423227906,0
period,6,6,6.78,0.48102433106754205,0.02645031600941622,0.7060817130594107,0.02593028896230758,3.31,3.33,27.78,45.0,0.5707225127383169,0
useless,7,7,7.05,0.3325647767254144,0.06333660427707764,0.3325647767254144,0.06184215053206133,1.78,2.8,19.94,50.0,0.5000741695760914,1
