word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.2357241272409906,0.045366568038420894,0.10342014914981137,0.05375602252176092,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5239417296997765,0.042640157906498485,0.288783889449762,0.15021528658922442,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.07406807191582848,0.042959308283175936,0.07814415691592806,0.03776079250138382,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.45318687501796007,0.10195114806640404,0.45408945326189804,0.10337868453704563,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.43438327650447905,0.036212411807401305,0.43438327650447905,0.08319245511538784,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.6546809133379707,0.03470066310040668,0.024342918025900512,0.0526277069427804,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.046100226249253314,0.13957994386251052,0.034777067333823866,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.2822954031346658,0.07963907151467021,0.1547163792408776,0.09430922638161798,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.5424972409583413,0.056728487033364756,0.09307428276882077,0.04848139416143412,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.4045573236763277,0.04693381201749856,0.3909998343772293,0.07035455969280835,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.4811744496680753,0.05526169377308509,0.040444268045955585,0.05331780894632732,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.3538513469402377,0.050916096159420735,0.3742103347669428,0.08774850549543825,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.09904592402011124,0.034229687187211366,0.1339993823111922,0.0438783992039128,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.12819579250431348,0.05157201080500997,0.1934842100814268,0.05207397258520981,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.1075999717021426,0.021609743643102197,0.07467439216419225,0.023279630891725845,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.03077792513470209,0.057713803479472116,0.12725586273470604,0.06177220035231409,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.25842455097408423,0.0370823855056605,0.25842455097408423,0.04018613494776245,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.38251077274537004,0.08233796552068369,0.42848985522840244,0.0872716688338461,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.15759007198451278,0.07461519312004715,0.1289598768749877,0.03548024173823861,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.13399526323699518,0.07910386937065571,0.14275977596223394,0.07035325165202454,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.07361769668736344,0.03131421920803057,0.04639138650881226,0.019355592523797423,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.10027188473776223,0.04158330485323552,0.07893216273474994,0.03472147433517648,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.5186312733341207,0.030223626087613337,0.3395968757434716,0.03725173338745012,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.1272474501189606,0.036305476451768626,0.11339519228321114,0.06945918572076497,3.39,7.53,4.45,42.0,0.5244109838194253,0
