word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.053029617358373624,0.05367114159989921,0.07528900130693315,0.06279843113641122,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5239417296997765,0.04190442014333382,0.3001989145699785,0.07553965435510082,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.41152242583318643,0.057014323937649436,0.41152242583318643,0.039878063074753535,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.29925346757381904,0.08863062146538526,0.2338120536965716,0.09651414672473244,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.38761394692240164,0.03375512722070108,0.38761394692240164,0.03522909720704508,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.43229353737488807,0.042199623875657,0.050124239313798884,0.04890759427120577,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.07563563626863987,0.03222556988896436,0.06930982197194849,0.035835321287937955,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.28517153047606786,0.08624378112885053,0.1608676263500252,0.11053093878843834,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.11818674720668614,0.028511726307468024,0.04620268876902671,0.033074761330844055,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.416365459517478,0.05760690371209366,0.15534491695860358,0.056756084465724235,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.4012129539619802,0.05554017308796782,0.09479065328869128,0.0524157246412604,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.34955068692582053,0.04734227350893349,0.3283660880388058,0.06396543333296005,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.5609550879752262,0.04674729885162531,0.5609550879752262,0.06695256323295293,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.4954674040245188,0.061603858854231315,0.5481495567590662,0.05218162370682765,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.018471083752777485,0.05803416115860389,0.5324951086403497,0.03323542479870104,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.07047698125767261,0.05975624867906889,0.16819131912230043,0.06098558147234193,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.25842455097408423,0.03775186758362236,0.25842455097408423,0.06907106581075394,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.37720275913678586,0.08776899642537814,0.43661721719755736,0.08800155668764345,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.11257533355159484,0.05538954596116166,0.07638917980039453,0.042593678317120263,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.2891085188622245,0.09166440569507862,0.11925002891545344,0.07365407418103004,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.059158559877297796,0.02638290563750353,0.05769007170767586,0.02108012616663926,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.14446066192716356,0.04583591814791612,0.14629931309495156,0.033172844480854675,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.4157928458696483,0.03144858614298968,0.5851032234856258,0.03673265739318754,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.10347334111271633,0.032987066725775345,0.09855003953100877,0.06416945350364638,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.13563013646968708,0.02737271767331319,0.07311820986211727,0.02248580780939518,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.1078911074175131,0.04885005029620354,0.10843685178279008,0.07447409515692528,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.26553937580687537,0.0858070756693579,0.2472703638134029,0.09058073645149703,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.547310950945602,0.06618938723628584,0.6680392347087927,0.06422326410666039,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.3924105681878057,0.08104610177440727,0.11966165888829565,0.07896170780315244,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.10424782547528146,0.015240308978951057,0.024261810129527675,0.023999611662021855,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.11301217969350434,0.0529854902436784,0.16989959828834303,0.08944808530464239,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.10900320352863335,0.07420056995260789,0.08163719802177756,0.061830968682710485,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.05943309315566457,0.03657687865860689,0.08737310777645985,0.016422886080338983,3.5,2.32,1.94,70.0,0.5138379579649178,0
puppeteer,9,9,8.21,0.5621606181648764,0.06327563420319265,0.0963553173404022,0.03724007742646694,4.17,5.8,1.24,73.0,0.5620214975383124,1
rink,4,5,8.69,0.12584257286778427,0.0462951275228644,0.0825554745752361,0.04704373711746127,4.56,5.67,2.14,20.0,0.5640317572959761,0
snarl,5,5,8.75,0.4781355337750553,0.07219582246412513,0.4781355337750553,0.09941948021814519,4.0,2.45,0.53,36.0,0.517023155638789,0
retaliate,9,9,10.0,0.1305291976699588,0.03269493414178554,0.11656774251134251,0.03734106630929923,2.25,3.55,1.25,58.0,0.5397534649956274,0
splice,6,6,13.32,0.5068162835674876,0.08821941290696218,0.539843555661034,0.06886362092535513,3.19,4.74,0.39,36.0,0.5964084423227906,0
