word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.08786581350649368,0.053205488522742025,0.07923826227196586,0.05467286211253391,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5156700623287729,0.09815236361120516,0.29096053223261276,0.17619768291758417,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.08709168951988891,0.04115513392890543,0.12677211853505407,0.03879932182649876,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.4059778553808292,0.09824556153552004,0.40643532745229655,0.09814504612179217,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.3598134932712834,0.035350005531331864,0.3598134932712834,0.08222531637435325,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.6546809133379707,0.03981290045472595,0.04147480454679903,0.04945937532023331,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.0459530602321223,0.05129539265812411,0.03781043292659138,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.2564629810951535,0.08373780693866278,0.24588150862780683,0.09583738951360234,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.05382914566114868,0.03531331674314588,0.01601694178582783,0.0325201074471603,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.4045573236763277,0.05612024730319631,0.3909998343772293,0.049584607450151634,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.4811744496680753,0.049200051490162156,0.040444268045955585,0.0499049967075547,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.3397886136324275,0.048656837286839706,0.3283660880388058,0.06648074895392492,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.08535322745963887,0.028970585290833555,0.054187460871736814,0.04592800797052065,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.48608767438426437,0.05382696540356447,0.19382382444871,0.053658811351619956,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.08289152979641191,0.05454789597605654,0.08535854801361108,0.02577015842117428,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.5720592646347064,0.06819740903719426,0.6308439511344265,0.06485790368583115,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.07644445860096853,0.035674340950005975,0.10664449202172911,0.03654597134775904,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.2080684560984105,0.0869800230933319,0.29616656314877937,0.09057554051269283,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.12526912832844203,0.06312882527979795,0.11506079522863205,0.03887234417397246,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.08331345475339444,0.08188349257518135,0.07641060486754522,0.06978408880756858,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.08246295816074693,0.03216965694691047,0.061387688299873136,0.01989536016560724,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.6148796077657193,0.07797547001641623,0.6148796077657193,0.03421532938683492,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.35615270876738897,0.03267090736025601,0.3386689425686179,0.040568913503426667,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.18671172573991765,0.034086770731064975,0.12803160158163052,0.061025357812098745,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.12433288045501616,0.025651146508904866,0.08509544745333565,0.02279433839379742,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.02781099851029027,0.09387500777707833,0.08181033317166536,0.08600985407753527,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.2587417286594137,0.08951045896193686,0.1715169701602989,0.09698669186360968,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.5128327404256281,0.07188795183768713,0.6561007414423949,0.0699056678295049,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.3845794690554601,0.0802049367481674,0.13186327870077086,0.07819475582651843,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.10450233274321817,0.020110305379293644,0.06454219574430349,0.014803045021347203,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.12268656679681472,0.061429399802751236,0.4680870879042574,0.1179967275894842,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.21007314606363675,0.06825424402715984,0.0852570607918959,0.06189940013241994,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.03423052806327137,0.03447245772052515,0.046260411567599614,0.015834058132056,3.5,2.32,1.94,70.0,0.5138379579649178,0
puppeteer,9,9,8.21,0.5621606181648764,0.02512310365101887,0.037993594276053366,0.03578160571552914,4.17,5.8,1.24,73.0,0.5620214975383124,1
rink,4,5,8.69,0.12566738326952862,0.04484088755485099,0.05717783325973565,0.04688145176670734,4.56,5.67,2.14,20.0,0.5640317572959761,0
snarl,5,5,8.75,0.48040853520501475,0.07204277703493861,0.48040853520501475,0.0806006657825336,4.0,2.45,0.53,36.0,0.517023155638789,0
retaliate,9,9,10.0,0.4316340359567159,0.041546415228718485,0.4316340359567159,0.04075444026826323,2.25,3.55,1.25,58.0,0.5397534649956274,0
splice,6,6,13.32,0.06772110382969358,0.03261379231203724,0.5935128728130469,0.049941706333265265,3.19,4.74,0.39,36.0,0.5964084423227906,0
period,6,6,6.78,0.14660645701051028,0.02164373008600183,0.20406973450233667,0.021071813965915592,3.31,3.33,27.78,45.0,0.5707225127383169,0
useless,7,7,7.05,0.036952977629892594,0.05886119767516548,0.19373396902269235,0.06472780248242628,1.78,2.8,19.94,50.0,0.5000741695760914,1
enamel,6,6,12.9,0.48323955303207,0.027866308974334904,0.05102118919524707,0.02201374192043605,4.21,5.42,0.57,46.0,0.5438963730343079,0
teeny,5,5,5.42,0.08081680803134854,0.1197638970202671,0.1193180669684592,0.09017725217379446,3.17,5.62,2.51,35.0,0.5713091343607777,0
boy,3,3,3.67,0.36847536144091375,0.2045961589524967,0.20471391479475948,0.12437625121091696,4.76,5.84,529.82,20.0,0.3936697997511812,0
puck,4,4,7.79,0.17403280638264487,0.07101433106518179,0.17403280638264487,0.06198982652693577,4.5,4.28,2.88,21.0,0.6129297443409079,0
pumpkin,7,8,4.78,0.08612351531645468,0.0612020422172977,0.14182800189696584,0.042205147665912865,4.9,7.0,10.84,52.0,0.5623069451258635,0
reciprocate,11,11,13.0,0.5313156716386737,0.04281440624073334,0.5313156716386737,0.045764574723738134,2.15,6.6,0.51,78.0,0.6125994952388958,1
malt,4,5,9.18,0.030851324161770274,0.044512549325123316,0.04394964726355579,0.04520590485813098,4.57,6.14,1.65,20.0,0.5032399879443589,0
motherless,10,8,7.39,0.1889152856184048,0.05890051488378336,0.23679737115800464,0.07904098497947046,3.08,1.9,0.57,67.0,0.5263168108323913,1
personnel,9,9,11.26,0.08739130162652524,0.025382010961434782,0.18686595476550313,0.014148195894715556,3.56,5.37,16.37,68.0,0.5536170548882344,0
savvy,5,5,12.35,0.11124375521462936,0.05442665663986168,0.11625937875215789,0.04854172685037604,2.03,6.4,1.06,38.0,0.6302715946719,0
radical,7,7,11.9,0.419302767535121,0.03955632466284369,0.4502727807833769,0.03007237338513112,2.1,4.36,4.27,48.0,0.5745935753540531,1
buck,4,4,7.68,0.22505220185176253,0.11757818178774783,0.20688591853931318,0.10403086472241986,4.67,6.5,33.75,20.0,0.5601767605332507,0
pituitary,9,11,13.06,0.06906867342152764,0.016147494650156278,0.12421266935084647,0.016146981216337376,3.33,4.79,0.63,78.0,0.5331314346182443,0
flap,4,5,7.21,0.5618809089994722,0.07162884652540139,0.5956746040086336,0.08305394434303887,4.14,5.74,2.65,25.0,0.5721188531782204,0
entrails,8,8,14.06,0.08853671917236268,0.05023488607461219,0.06339318957247934,0.03701885254896876,4.58,3.37,0.88,54.0,0.5154983279095123,0
stairs,6,5,4.22,0.20188682711828546,0.0735209243063861,0.1354515899053446,0.06977039431832478,5.0,5.48,23.76,36.0,0.4734896066099178,0
whistle,7,5,5.42,0.5020631359512338,0.055149498375996885,0.511057998786864,0.0781743197313339,4.42,5.7,15.45,35.0,0.5585843760246847,0
champagne,9,8,10.26,0.09145705471169299,0.045536225126106174,0.10921288391990394,0.024031993304800995,4.82,6.86,31.29,62.0,0.4579285172120663,0
cake,4,4,3.26,0.3943039968490279,0.08523218201604553,0.11608620382223281,0.08258534402284688,4.81,7.58,45.06,20.0,0.46907815340234976,0
percentile,10,9,12.94,0.030115686059895022,0.02035489020651194,0.09075715296389825,0.020340889939755368,2.97,4.55,0.65,64.0,0.6321401584286693,1
enforce,7,6,9.11,0.4662193864612336,0.06354286877400393,0.39139737470371627,0.043543937228736306,2.4,5.32,1.69,48.0,0.5597413761991105,1
unseen,6,7,9.56,0.0935603912416014,0.041219651358629025,0.09942085165100699,0.046441575964671813,1.67,4.38,2.16,51.0,0.5834279778744593,1
potassium,9,8,11.89,0.05319717809593685,0.024597506156294285,0.13557301745250952,0.020327043165532056,4.23,6.1,1.65,81.0,0.4705605491190187,0
phlegm,6,5,11.27,0.4096650454244019,0.05356902892801212,0.07830107364293823,0.06567994304740954,4.48,2.52,0.67,58.0,0.5314218865608782,0
excite,6,6,6.61,0.3343785439661639,0.03822398584786628,0.36968111945000726,0.04601859199528326,1.97,7.79,2.14,40.0,0.5981665150218836,0
putrid,6,8,13.14,0.07985311375260162,0.05190100921340645,0.09731078538547808,0.06651622629162064,3.46,2.8,0.63,49.0,0.463928878906266,0
grilled,7,6,7.26,0.1438549064635472,0.08241580422801016,0.09854889978792536,0.08551206745271724,4.23,6.67,2.24,37.0,0.44048949426458794,0
prospector,10,11,11.78,0.5440111572589718,0.03785725392934743,0.13037295937316143,0.04398382877111397,3.57,4.84,0.59,51.0,0.5735855510371543,1
winch,5,5,12.22,0.06697379499793732,0.054634479066751764,0.4888261649266668,0.046717058809177064,4.4,4.05,1.35,31.0,0.5571364065879237,0
brush,5,5,3.78,0.4735994914998801,0.08123566206660246,0.5178551051397702,0.08469198869910655,4.54,5.47,14.16,35.0,0.5361468675251954,0
beige,5,4,7.74,0.12540024823016435,0.03924109163486626,0.17776488783363142,0.050024291750227455,3.41,5.26,1.35,39.0,0.5458315971635267,0
motel,5,6,7.11,0.24043007962411553,0.07529438533251662,0.53541064763436,0.08235675865534346,4.93,5.3,18.18,35.0,0.5560279865938138,0
