word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.06597696184352694,0.045237384484753944,0.1242573926237354,0.059446342624902046,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5057868498520528,0.04030292717037601,0.2808094209873957,0.07797094209249499,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.41152242583318643,0.028585963993687718,0.41152242583318643,0.04138804736638179,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.46079425643860245,0.0951006231685883,0.46718483819873435,0.09559566063462976,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.35981349327128337,0.03744013921403405,0.3598134932712834,0.08636566781197079,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.6502919236871872,0.04935155570857706,0.10012619330911526,0.06853805612081863,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.04246795019648741,0.06570899811433924,0.03667728418841591,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.1521093573927264,0.07832050496271886,0.15528227761792,0.08427546375863827,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.04669826375045494,0.030407905464500187,0.05883280138176651,0.02592945937093287,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.3909998343772293,0.05619093359097547,0.3909998343772293,0.056939458058058945,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.35799011876268094,0.04928296467540015,0.09479065328869128,0.05128292361068925,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.19920399133316563,0.049965841581025267,0.15631598259378215,0.06859473509955333,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.07094353296031279,0.031711008297771515,0.11701742542130482,0.05186920585216988,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.5132527616343346,0.05754882236034652,0.5132527616343346,0.055918958720958534,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.4873496124164406,0.02315996913841998,0.5086683189666198,0.03101275053899358,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.5720592646347064,0.06140145664982008,0.6308439511344265,0.06383288066457457,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.25842455097408423,0.037762072683655695,0.25842455097408423,0.03364989434388153,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.366017471279793,0.08329943448839601,0.4099885097200995,0.08902568099626967,2.6,3.32,269.73,20.0,0.4354924845046864,0
ether,5,5,13.44,0.12556045631587615,0.06260003341617221,0.07571088312327516,0.04216134726126299,3.88,4.63,2.12,30.0,0.5912343647523854,0
wrinkled,8,7,7.26,0.2891085188622245,0.07646441114899143,0.07750334433149414,0.06815728986697421,4.29,3.74,1.69,42.0,0.4891278865765235,0
vandalism,9,11,12.0,0.09982148717842677,0.03353150012144738,0.0076140487298392385,0.019138583526125966,3.47,1.9,1.55,67.0,0.5461423944807742,1
moustache,9,7,5.4,0.21338539925826552,0.044273520868716214,0.13116946947247923,0.033797392489725464,4.96,5.35,3.78,71.0,0.46526010515839394,0
magnet,6,7,6.1,0.43771780787558073,0.033576287280337375,0.5218837164853958,0.039573355138223444,4.7,5.65,2.75,37.0,0.5827711269708797,0
warmth,6,5,6.26,0.15604394311049305,0.038433083740025104,0.08522291319767245,0.07720223566680152,3.39,7.53,4.45,42.0,0.5244109838194253,0
suburbia,8,7,12.06,0.056800694404978105,0.02941939807491603,0.07759077620756329,0.025868906879620127,3.31,5.52,0.75,72.0,0.5932688636755608,1
stinging,8,7,6.78,0.13356612501931361,0.08986269717213902,0.10826641774938311,0.08409621706929156,4.04,3.57,0.9,34.0,0.578455090111351,0
handy,5,6,7.35,0.26264749310364344,0.09262246517390839,0.23596462683970248,0.0937594150501483,1.88,6.19,12.22,29.0,0.5895786782885802,1
reach,5,4,4.89,0.43871541822077653,0.06750250678158674,0.6383798256504185,0.06351808674161707,3.7,5.78,56.92,28.0,0.5363804949750952,0
shower,6,5,4.72,0.4735972049426025,0.06700705407778708,0.1383041417130971,0.07017998549774825,4.89,7.19,41.12,36.0,0.47164033931089683,0
corporate,9,8,10.84,0.12045323186537053,0.01633248161072594,0.10521055082105114,0.014412406902723163,2.27,4.9,10.22,56.0,0.6225671314607506,1
sneaky,6,6,6.58,0.13358703414107967,0.04924603160218239,0.12077731914203986,0.08870745082677149,1.97,3.94,4.24,37.0,0.59286147911046,1
speck,5,5,8.48,0.31650367724084294,0.0813238737944845,0.08821238578715196,0.07275724748283813,4.46,4.33,1.86,33.0,0.6028795117836707,0
arthritis,9,8,11.67,0.10340712399307489,0.03207969059311332,0.09317906501883451,0.01654333098166607,3.5,2.32,1.94,70.0,0.5138379579649178,0
