word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.06142613346291826,0.054720972530839844,0.12923482974649086,0.061269772535868475,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5083174691101028,0.04156747169367635,0.2737337442548592,0.12528026614747534,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.15714245042127498,0.045084552582846465,0.11504721670596757,0.04106553298524813,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.26004039831250647,0.10088081033889562,0.2530876108695439,0.09824142613558183,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.38461256308906333,0.03683479477298935,0.3846125630890634,0.043535825822172455,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.5581231410207346,0.039050488633652077,0.2214687595738318,0.056561803218831974,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.19849981245758241,0.027711624034285356,0.06251260820319199,0.0348976124052001,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.1707327483709796,0.0708527432847435,0.15606570858850544,0.08045984833775877,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.5424972409583413,0.049165217394581545,0.10601651648105456,0.041386315842150925,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.416365459517478,0.05181824408889087,0.16195948754908102,0.06831646810274661,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.440397443346641,0.05378535630441296,0.07541722071352243,0.04904651808953172,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.3498689248888635,0.052693311605663276,0.3742103347669428,0.07700202260218451,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.5609550879752262,0.0457275463625754,0.5609550879752262,0.06377781354406731,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.15890907139677432,0.05690949137899929,0.15799349761761972,0.05320009270993527,1.92,3.3,15.9,50.0,0.4968548725453553,1
