,word,word length,nr_phon,aoa,OSC_m,OSC_h,PSC_m,PSC_h,conc,val,freq_subtlex,old20,morph
5121,openness,8,7,8.68,0.05098379003827834,0.036792707315998575,0.02274052596133554,0.03944678930046086,1.9,6.52,0.39,57.0,1
5122,operate,7,7,7.11,0.40642122938233993,0.1244986380796181,0.37110804769850503,0.17277587989775822,3.0,5.37,13.37,37.0,1
5123,opiate,6,5,14.44,0.6749106906526972,0.07180025287636202,0.6749106906526972,0.05163068902462893,4.17,5.35,0.39,44.0,0
5124,opinion,7,8,8.42,0.6177632272515996,0.14296790675732413,0.6210816056600784,0.047861545072515964,1.93,6.38,42.0,50.0,0
5125,opinionated,11,12,10.88,0.17993180989509852,0.03665470101596838,0.06089050238489263,0.035216570154521745,1.48,5.57,0.53,86.0,1
5126,opium,5,6,12.41,0.08984868139889152,0.03743519248319058,0.06069001969305894,0.04372596050542939,4.56,3.42,2.24,48.0,0
5127,opponent,8,8,8.63,0.6461354929009984,0.08439351439351687,0.6461354929009984,0.13135045024974987,3.52,4.42,4.71,59.0,0
5128,optic,5,6,11.0,0.4766368059684644,0.06705328953802965,0.5045606123647047,0.09247979956398354,3.46,5.6,1.02,39.0,0
5129,optical,7,7,10.72,0.03002430013720172,0.13238799792617492,0.0801080623040528,0.15515191090010377,2.86,5.15,1.1,51.0,1
5130,optics,6,7,12.63,0.03655540858782516,0.07612416032009675,0.06333579426588662,0.09978732326244025,3.29,6.37,0.71,45.0,0
5131,optimism,8,10,12.17,0.032462618183953684,0.06979207739903696,0.03181987933788404,0.08868482631333287,1.48,7.21,1.55,64.0,1
5132,optimist,8,9,10.89,0.28762725658987975,0.09232083081583116,0.5109876347006057,0.07185446612646351,1.9,7.19,1.53,62.0,1
5133,optimistic,10,12,11.42,0.04152244821317922,0.05644396666626703,0.08645317949916276,0.07547885935693127,2.0,7.45,3.39,75.0,1
5134,option,6,5,8.79,0.5165694163372438,0.07739918770874024,0.6822793227284809,0.06527656492831659,2.39,6.37,14.43,39.0,0
5135,optional,8,7,8.79,0.023322686648127828,0.051864228378100785,0.08370594771536745,0.026581727569920874,1.9,5.76,1.14,52.0,1
5136,oracle,6,6,11.82,0.41689221165602114,0.050720149231324826,0.41689221165602114,0.0797970849563387,2.88,6.16,2.24,39.0,0
5137,oral,4,5,9.39,0.047942150833013356,0.046456796156428296,0.5627898274139114,0.17783144203588602,3.45,4.95,4.31,32.0,0
5138,orange,6,6,3.26,0.565083316864143,0.2138987046573786,0.565083316864143,0.07632365443116759,4.66,6.81,22.31,35.0,0
5139,orangutan,9,9,7.83,0.6847729775251502,0.060282546508218404,0.6847729775251502,0.094616016762909,4.81,5.74,0.57,77.0,0
5140,orb,3,3,11.17,0.10698508454948116,0.10273768556853133,0.2767976799931064,0.11952961109328185,4.12,5.0,2.75,27.0,0
5141,orbit,5,5,7.95,0.5100333458757382,0.0943612239159541,0.6094950209617472,0.06368677109653592,3.93,5.95,5.65,38.0,0
5142,orbital,7,6,12.65,0.3699610544193347,0.2326993273480993,0.03958717898975956,0.10991325734954306,3.11,5.5,1.25,53.0,1
5143,orchard,7,5,7.67,0.5588765021748543,0.04253489303648503,0.5588765021748543,0.042525223396385314,4.75,6.15,1.92,55.0,0
5144,orchestra,9,8,9.44,0.3207367336873056,0.30520101333997396,0.6921765167051739,0.1057565644520246,4.79,6.5,5.51,70.0,1
5145,orchid,6,5,9.76,0.6140919206036933,0.12233353456643839,0.6140919206036933,0.044785968261622955,4.92,7.0,2.16,52.0,0
5146,ordeal,6,5,10.06,0.5416099282513979,0.08665676543084011,0.5416099282513979,0.0756241686536618,2.04,3.84,2.37,45.0,0
5147,order,5,5,6.26,0.4695229861004852,0.1609643887572689,0.1807624371541032,0.16112519761185537,2.79,5.82,156.57,35.0,0
5148,orderly,7,6,8.33,0.36415402909748795,0.07463749344430379,0.348619436817429,0.08093526096468269,2.77,6.36,4.37,50.0,1
5149,ordinance,9,8,13.17,0.4381369248523201,0.10277373025242416,0.4381369248523201,0.12657969977816572,2.9,4.75,1.69,66.0,1
5150,ordnance,8,7,14.0,0.07828577631232927,0.023100619550345716,0.02402400607190911,0.021043166738188724,2.96,4.52,0.92,59.0,0
5151,ore,3,3,11.12,0.059767601178349374,0.08092025060828917,0.03525391815449481,0.08447061704812077,4.48,5.78,1.65,20.0,0
5152,oregano,7,9,10.88,0.10037300217559599,0.02909014678538674,0.12890763711084832,0.016607152657558258,4.81,6.11,0.82,55.0,0
5153,organ,5,5,8.72,0.11848287008737478,0.0466242340194496,0.19152034787662534,0.04686364360397743,4.77,4.95,7.25,37.0,0
5154,organic,7,7,13.68,0.5412208837822987,0.11087500792410926,0.5250863751963474,0.0638095946631565,2.68,5.55,4.31,47.0,1
5155,organism,8,9,10.61,0.6568938297049043,0.13214320868496793,0.6568938297049043,0.09203145087891136,4.16,6.0,2.04,46.0,1
5156,organist,8,8,7.68,0.008984759045813598,0.04857733063344538,0.061967964318297056,0.03848356575311813,4.0,5.67,0.39,48.0,1
5157,organize,8,7,6.33,0.5719042094825126,0.24227587830555522,0.5732964829038164,0.17812883829008958,2.72,6.75,4.31,43.0,1
5158,orgasm,6,7,14.05,0.6357857285413734,0.20477290079969107,0.6444029558301483,0.058514793541245856,3.97,8.01,4.18,52.0,0
5159,orgy,4,4,13.95,0.1455363031381914,0.06133260946651793,0.5703253816624944,0.0695664029412044,3.67,5.37,1.71,36.0,0
5160,oriental,8,9,8.35,0.4309520406537468,0.047466804804444866,0.05368795425655453,0.022555297128301028,3.5,6.26,2.61,55.0,1
5161,orifice,7,7,11.4,0.44729513829935336,0.05395892798423089,0.44729513829935336,0.08519803530683893,4.36,4.48,0.59,55.0,0
5162,origin,6,7,10.25,0.2339050239204627,0.11006636191345773,0.5968366414809515,0.08781751991548489,2.03,5.19,4.45,49.0,0
5163,original,8,8,7.67,0.365027817409807,0.16176085928670142,0.48197642965693877,0.05443572299270486,2.07,7.5,28.24,51.0,1
5164,originality,11,13,9.58,0.02985613864218832,0.048650198095024404,0.10106077253525095,0.026478605287985485,1.86,6.94,0.59,70.0,1
5165,ornery,6,6,10.27,0.17248696487504817,0.08607970581134768,0.1955553857698457,0.0782673854151228,2.0,3.85,1.18,46.0,0
5166,orphan,6,4,6.94,0.5457427523015881,0.22909247828286752,0.6091318457765191,0.06726664411086805,4.04,2.9,5.75,54.0,0
5167,orphanage,9,7,8.89,0.6591618825224441,0.24361342341853365,0.6591618825224441,0.03748473540795528,4.65,2.95,5.35,73.0,1
5168,orphaned,8,5,7.9,0.05621224495253999,0.07172761021383736,0.1082882050960861,0.09500434984026267,3.18,2.55,0.39,60.0,0
5169,ostrich,7,7,6.42,0.5531877600731846,0.029559655542761226,0.5531877600731846,0.09456324360701641,4.71,5.16,0.94,57.0,0
