,word,word length,nr_phon,aoa,OSC_m,OSC_h,PSC_m,PSC_h,conc,val,freq_subtlex,old20,morph
0,abandon,7,8,8.32,0.4869995654544442,0.18658496794643117,0.4869995654544442,0.21893122957556696,2.54,2.84,8.1,53.0,0
1,abandonment,11,12,10.27,0.03854319152872969,0.058244558640805265,0.11210461337992714,0.06176817003811119,2.54,2.63,0.96,87.0,1
2,abdomen,7,8,8.61,0.4680412251660116,0.041953214959847135,0.4680412251660116,0.05650458048751354,4.7,5.43,3.35,58.0,0
3,abduct,6,7,11.26,0.42717283519952864,0.12454362703618051,0.4915345078700768,0.18089670022051377,2.88,2.42,0.71,46.0,1
4,abduction,9,8,11.94,0.6055071189413577,0.12339623722296811,0.6055071189413577,0.17233998549750917,3.07,2.05,3.63,47.0,1
5,abide,5,5,9.5,0.47438477204336504,0.2309980009174276,0.35058453891147656,0.21591199874685413,1.68,5.52,2.71,34.0,0
6,abiding,7,7,10.3,0.13170292195393093,0.049192939233624194,0.08489193261090994,0.06648757566529784,2.07,5.57,0.49,38.0,0
7,abject,6,7,14.0,0.40406345850542125,0.06708168377844426,0.40406345850542125,0.03325272720382536,1.67,4.0,0.39,45.0,0
8,ablaze,6,6,10.83,0.11399187976508972,0.11561501358980154,0.1145444005619153,0.0766100272218248,3.82,5.15,0.41,43.0,1
9,able,4,4,7.79,0.1567082235467777,0.07188159706291707,0.43939566466036056,0.06492543243065921,2.38,6.64,159.9,29.0,0
10,abnormal,8,7,10.05,0.47762145361753333,0.08755352716365118,0.06804792280001318,0.09019325756588945,2.14,3.53,2.9,61.0,1
11,abnormality,11,12,11.58,0.03795390540489557,0.10532852257253844,0.6830572056423364,0.11608856535519116,2.48,3.05,0.51,70.0,1
12,abode,5,5,12.06,0.05068479690714905,0.05211324687950846,0.23852857245945577,0.13370419425018526,3.92,5.28,0.65,36.0,0
13,abolish,7,7,10.42,0.6190951121203693,0.032565994163692255,0.6190951121203693,0.0324395191071917,2.19,3.84,0.47,56.0,0
14,abominable,10,10,8.94,0.07535612527522814,0.07389741500862726,0.08240424388061089,0.03520401343434145,1.89,4.05,0.63,67.0,1
15,abort,5,5,12.21,0.3300356875414912,0.04987508700423587,0.5964714728321416,0.12811433885204254,2.83,3.1,4.61,38.0,0
16,abortion,8,6,13.21,0.7222285011836698,0.1489234572605125,0.7222285011836698,0.09277727094941458,3.41,2.58,7.24,50.0,1
17,abracadabra,11,13,6.89,0.07082273433423861,0.015367838812579677,0.07089140574466864,0.013745813684726872,2.04,5.11,1.04,118.0,0
18,abreast,7,7,13.06,0.07951251904793273,0.029031870574832815,0.056056224254149994,0.03232873896298121,2.23,4.62,0.51,51.0,0
19,abrupt,6,7,10.95,0.4493523932089435,0.07635620022615541,0.48503860465508236,0.07365853370576038,2.27,3.28,1.14,53.0,0
20,abscess,7,6,13.11,0.624583149879275,0.13492517187963543,0.7056708761591799,0.064418503343767,4.48,2.79,0.49,54.0,0
21,absence,7,7,7.7,0.5983774830541572,0.22158104429547198,0.5983774830541572,0.036004003794713,2.31,3.86,6.31,54.0,0
22,absolute,8,8,8.53,0.39288488197265503,0.13083569294990519,0.39310612005949425,0.061723204620034014,1.81,5.43,11.31,53.0,0
23,absolve,7,7,12.9,0.4513918381204564,0.20756499299822456,0.5397100460863828,0.2609111442037574,1.85,4.58,0.57,50.0,1
24,absorb,6,6,8.83,0.5110844610112174,0.16934362914953446,0.532769856845311,0.19179356690814467,3.11,5.5,1.98,52.0,1
25,abstain,7,7,12.95,0.5611769554142162,0.14053023358606648,0.5611769554142162,0.16756694887720797,2.38,4.4,0.51,52.0,0
26,absurd,6,6,10.5,0.4301910666003387,0.08439590775407409,0.4301910666003387,0.08460341550679737,1.64,4.45,9.71,53.0,0
27,absurdity,9,9,13.21,0.21923825059165886,0.047938912491189846,0.4104516730658931,0.12890609042711484,1.25,4.06,0.63,75.0,1
28,abyss,5,5,11.0,0.1232239524237652,0.05430943377866923,0.48829388948959984,0.06204703753795418,3.07,3.9,1.76,42.0,0
29,academic,8,10,9.74,0.45025578716817066,0.18072824845440996,0.45025578716817066,0.1206540247049539,2.11,6.61,4.67,54.0,1
30,academy,7,8,9.05,0.04364057333397749,0.04799455448527973,0.37525356321726594,0.0403450178112916,4.29,5.32,12.41,56.0,1
31,accept,6,7,6.74,0.5139536488449583,0.1132537636284207,0.5586251019653384,0.19682976174131733,3.03,6.39,52.78,44.0,0
32,acceptable,10,10,9.84,0.6055288911262783,0.09151505630397337,0.06538709686834802,0.07263763892493906,1.93,6.59,5.27,71.0,1
33,acceptance,10,10,8.56,0.33407055126794527,0.062187324878881116,0.33407055126794527,0.11695775276654702,2.21,6.84,3.16,73.0,1
34,access,6,6,9.1,0.2206574443325287,0.039955307857058434,0.09540053697755001,0.02360470978329895,2.71,6.68,31.67,40.0,0
35,accessory,9,9,11.15,0.06955550137106077,0.03440809125182472,0.5383633919112665,0.060827647622371646,4.1,5.35,2.88,65.0,0
36,accident,8,9,5.3,0.5483437467115252,0.23972911214042578,0.6646534567610948,0.09046786241094296,3.26,2.55,81.29,53.0,0
37,accidental,10,11,6.75,0.43998724239682807,0.16203226198676707,0.12257133238419861,0.10588237385516111,2.17,3.46,3.0,64.0,1
38,acclaim,7,6,12.11,0.321091867140831,0.07753841514926438,0.17564577266223896,0.0655260915883485,2.04,6.1,0.43,55.0,0
39,accommodate,11,9,9.9,0.5342727550294557,0.3809322572500763,0.5132727239729316,0.12309447109140897,1.86,6.35,2.14,78.0,0
40,accomplice,10,9,9.78,0.5399614948038647,0.1513983277154732,0.5399614948038647,0.0688695672372899,3.34,4.6,4.24,71.0,0
41,accomplish,10,9,7.84,0.5366206372236503,0.12679117105141383,0.5366206372236503,0.13392920754718202,2.33,7.45,5.84,72.0,0
42,accomplishment,14,13,9.0,0.47382532946593486,0.16407296159366894,0.47382532946593486,0.17006941180984914,2.5,8.05,1.88,95.0,1
43,accord,6,5,9.65,0.16331603915275675,0.07939889650090641,0.16331603915275675,0.13708631606833205,1.57,6.38,1.63,47.0,0
44,accordion,9,8,8.61,0.5655738685453084,0.07822026388518262,0.5655738685453084,0.04757392568886566,4.86,5.26,1.31,67.0,0
45,account,7,6,8.26,0.3789715241845491,0.15354476199296627,0.38873784975089554,0.06985193584725263,3.08,5.39,44.71,52.0,0
46,accountable,11,9,11.7,0.390004358937131,0.05898819926684458,0.390004358937131,0.04469668997447168,2.21,5.7,1.41,73.0,1
47,accountant,10,9,11.67,0.5340013362794973,0.1879719297903983,0.5340013362794973,0.06318283976416213,4.41,5.19,6.18,69.0,1
48,accounting,10,8,12.05,0.11139354395871173,0.09873037035312056,0.060184816411300406,0.084113732009445,3.27,4.42,4.51,55.0,0
49,accuracy,8,9,9.71,0.4806671201486168,0.10663279620415955,0.4806671201486168,0.1530383860100066,1.85,6.32,1.49,71.0,1
50,accurate,8,8,9.44,0.5153683601416439,0.13836242184667866,0.5153683601416439,0.15980701504762934,1.9,7.42,7.84,54.0,1
51,accuse,6,6,9.1,0.6336513791839451,0.17889592914279592,0.6485373669628525,0.21227512673762736,2.25,2.68,5.69,40.0,0
52,ace,3,3,8.83,0.1606794386773213,0.14231492694335046,0.4031445935925813,0.1623152914230103,3.92,6.37,14.73,20.0,0
53,acetylene,9,9,16.88,0.06036262298514469,0.07918649718321594,0.1083073604967934,0.02556003149494667,3.58,4.11,0.45,86.0,0
54,ache,4,3,5.79,0.15417282567227203,0.1976552361448877,0.2053936687094322,0.15940048580409286,3.43,3.27,2.49,26.0,0
55,achieve,7,5,8.53,0.4555427316882321,0.22084316184724515,0.5010676333696676,0.09769523697727446,2.29,7.75,7.33,50.0,0
56,achievement,11,9,8.8,0.6431958525987802,0.14406541375814993,0.6601836475065114,0.05742342970463518,2.37,7.28,3.49,88.0,1
57,acid,4,5,9.6,0.40354376110360324,0.15928168240157725,0.7025414075132151,0.16978882703102985,4.25,3.26,9.96,32.0,0
58,acne,4,5,11.4,0.09898960807007476,0.11826904004488237,0.04988283601768234,0.05656084710629257,4.89,2.18,0.9,35.0,0
59,acorn,5,5,5.95,0.4089660493313404,0.035672079042494774,0.4089660493313404,0.029403907103095563,4.96,5.85,0.73,36.0,0
60,acoustic,8,8,12.39,0.5299037074000778,0.06005781824353724,0.5482357696428548,0.13214077580221706,3.28,7.1,0.96,56.0,1
61,acoustics,9,9,11.32,0.0301724103943737,0.11873408477962354,0.06535018281156116,0.06522613761643553,3.12,6.33,0.43,69.0,1
62,acquaintance,12,10,10.48,0.5681438840669457,0.19162638470490026,0.579998880682927,0.09683243691512616,3.41,5.58,5.35,96.0,1
63,acre,4,5,9.8,0.22722418198147729,0.12045430696748996,0.03146328633961472,0.15478078357345945,4.18,5.53,1.82,31.0,0
64,acrobat,7,8,8.05,0.08818552943613861,0.020785362058463427,0.065763830885972,0.02841208876879617,4.46,6.0,0.59,56.0,0
65,act,3,4,6.42,0.23287975733076974,0.1097064562276362,0.3879714604369455,0.14563339274208092,2.46,5.64,109.12,20.0,0
66,action,6,5,6.67,0.22202072001796552,0.1417558797224609,0.35362116484522627,0.07442213258121497,2.86,6.0,61.08,35.0,1
67,active,6,6,6.53,0.21821139281744384,0.07220420553403527,0.273012232090447,0.050437588702392185,3.32,6.47,11.45,40.0,1
68,actor,5,6,7.17,0.22477963121991698,0.07018024874956232,0.09806374974831017,0.06419750531130418,4.57,6.15,26.33,36.0,1
69,acute,5,6,11.6,0.2916898158033815,0.041813746661443295,0.2916898158033815,0.03811484933143613,1.92,5.1,2.94,39.0,0
70,ad,2,3,8.22,0.06976228021536371,0.102874120953156,0.09801396172186956,0.09284017395981783,4.46,4.11,13.61,20.0,0
71,adage,5,5,16.21,0.07113522686364183,0.03628259221442195,0.0675985825125424,0.036462599972590756,1.86,5.55,0.63,40.0,0
72,adamant,7,8,14.29,0.35322635344573733,0.027598585116451562,0.35322635344573733,0.06721684509310687,1.65,5.45,0.98,58.0,0
73,adapt,5,6,9.0,0.4572612786402238,0.07694645208030446,0.538484055790822,0.0891607103406489,2.41,5.84,2.63,37.0,0
74,add,3,3,5.1,0.10667964713814813,0.11189354403842652,0.13994929349250593,0.09739975262167364,3.0,6.23,33.06,26.0,0
75,addiction,9,7,12.11,0.6623997921175933,0.14312212355408196,0.2093618105754994,0.09832938268095857,2.85,3.52,3.9,49.0,1
76,addictive,9,8,10.33,0.504409730018316,0.15570092853640197,0.05900369523066007,0.06040912964528789,2.22,3.52,1.12,54.0,1
77,address,7,6,5.15,0.43507562945681016,0.08181322191654027,0.4224103784197442,0.07606530332835616,3.89,6.11,52.27,46.0,0
78,adept,5,6,12.5,0.21108793514647994,0.045194923119985825,0.21108793514647994,0.03922252730107106,2.23,6.14,0.65,36.0,0
79,adequate,8,8,10.35,0.5561871696889386,0.06315509395826793,0.5561871696889386,0.07553343371120305,1.97,4.7,2.59,63.0,1
80,adhere,6,6,10.78,0.4954588195020564,0.09145062148710327,0.033256202587239866,0.20526061685860383,2.62,5.17,0.57,38.0,1
81,adhesive,8,8,9.17,0.05548624796547073,0.055241597172493856,0.05463148499275396,0.08049534880596002,4.35,5.84,0.92,62.0,0
82,adjacent,8,8,11.05,0.04764027818655218,0.010508537465878985,0.036316619396661816,0.018327938731601108,3.63,5.15,1.33,69.0,0
83,adjective,9,8,8.6,0.6241872200219617,0.05697424043942991,0.6241872200219617,0.07133220964951731,2.43,5.95,0.49,55.0,0
84,admiral,7,8,8.72,0.3949314040217226,0.12058562819033658,0.3949314040217226,0.14316578759332524,4.11,4.8,16.57,50.0,0
85,admire,6,7,7.42,0.49171072550782746,0.15064994247971336,0.08131971109340344,0.22437951433357498,2.04,7.35,14.16,37.0,0
86,admit,5,6,7.56,0.47681714927206315,0.07482561038407198,0.4814720163437768,0.14949130300410046,2.32,5.56,59.2,38.0,0
87,adobe,5,6,12.22,0.08197074484597239,0.026955800860704086,0.06043927822072242,0.018241637232666984,4.19,5.25,0.47,39.0,0
88,adopt,5,6,7.83,0.6297382704582775,0.08180553212760532,0.6650941849711542,0.10240296070832364,2.36,6.9,4.67,37.0,0
89,adoption,8,7,7.79,0.4727622567846963,0.18620980664077713,0.4727622567846963,0.16838394553447342,3.03,6.68,4.69,52.0,1
90,adoptive,8,8,9.16,0.09199470150427047,0.061408849188871836,0.0875457902622687,0.14627158644783833,2.0,5.67,0.59,55.0,1
91,adore,5,5,7.95,0.47937251598692426,0.2762424467927031,0.11889302356369565,0.2646531527955823,2.34,7.37,7.73,35.0,0
92,adoring,7,7,8.53,0.3141017775726144,0.0785985809637768,0.3141017775726144,0.0784754265632419,2.34,7.38,0.69,39.0,0
93,adrenalin,9,10,11.65,0.7773069546878506,0.04480685457520924,0.06916027370799788,0.02141437726473549,3.17,6.33,0.55,73.0,1
94,adrift,6,7,11.21,0.14898167164401405,0.05454443637804922,0.020653657813735685,0.053234826220164656,2.71,4.36,1.0,48.0,0
95,adult,5,6,4.68,0.512679417382232,0.07032984334981571,0.6374317967088708,0.09081793361035201,4.4,5.9,14.29,39.0,0
96,adulterer,9,10,11.63,0.5537384259003064,0.18930707658126314,0.18883693113221006,0.35215180215361414,2.96,2.77,0.39,68.0,1
97,adultery,8,9,11.84,0.08120856305233466,0.05728659827955216,0.540639001306821,0.16182842992591037,2.79,2.81,1.94,59.0,1
98,adulthood,9,9,9.95,0.011863976433706153,0.05372101950509079,0.08076584499696672,0.04976788414596949,2.5,5.05,0.73,85.0,1
99,advance,7,7,8.35,0.22259205621685813,0.1005629967918747,0.22939296417263022,0.058042471779750866,2.57,6.11,15.98,50.0,0
100,advanced,8,8,9.05,0.07071763323245701,0.04210181820254327,0.10497113086202567,0.05669368277722364,1.83,6.14,8.84,54.0,0
101,advancement,11,11,10.89,0.32245223018553915,0.04492497332910744,0.030419441139833744,0.028266232028193415,2.1,7.47,1.24,74.0,1
102,advantage,9,9,9.32,0.3867223550281458,0.14446994726371956,0.4170826268890443,0.15295544001765432,2.0,6.71,22.06,67.0,0
103,adventure,9,9,5.67,0.6118566823327786,0.2903797854026107,0.21703375831263852,0.13435426664693048,2.59,7.4,13.43,52.0,1
104,adverse,7,6,10.72,0.3534891819731319,0.0636495266150033,0.3534891819731319,0.09942473399803152,2.23,3.68,0.71,45.0,0
105,advice,6,6,8.61,0.3238147027865442,0.12888292817855002,0.3238147027865442,0.15621562947718298,2.73,5.78,47.98,43.0,0
106,advise,6,6,8.89,0.45504827803364095,0.4039355548209354,0.4632637796179626,0.20424997431441846,2.03,5.44,12.2,36.0,0
107,aesthetic,9,8,15.74,0.34811543329843103,0.22269705328333833,0.5573033626693257,0.10326518743431079,2.33,5.43,0.67,52.0,1
108,affair,6,5,10.94,0.4513408771127529,0.09377232690289126,0.13643508952874628,0.17017993727771222,2.45,3.1,29.45,47.0,0
109,affidavit,9,10,15.69,0.6234561368129583,0.022369517894100546,0.6234561368129583,0.04915177737357756,4.0,4.38,1.96,93.0,0
110,affliction,10,8,11.32,0.6412247339990124,0.23013239350290368,0.6412247339990124,0.18668903633475584,2.27,3.76,1.18,55.0,1
111,afford,6,5,7.47,0.17287147422616334,0.05087379215141028,0.2073043108320961,0.09489645941638078,1.83,6.56,44.43,47.0,0
112,afloat,6,6,9.33,0.14411771975621696,0.08753817284125001,0.12073858285082237,0.06909225705714896,3.34,5.57,1.67,49.0,1
113,afraid,6,6,4.42,0.3204875684222676,0.12460242765826812,0.14616882155582808,0.08108409511557906,2.7,2.25,247.67,49.0,0
114,afterlife,9,8,8.11,0.09015109517971327,0.024979232047563985,0.06374300193987391,0.03002270327969406,1.9,5.53,1.59,78.0,1
115,aftermath,9,8,12.05,0.03565426262913226,0.04070123864232319,0.10241898327415609,0.045348138226400124,1.97,4.29,1.04,74.0,1
116,aftershave,10,8,10.42,0.08430787534023283,0.022594263957749203,0.1794032495246492,0.044481825523519807,4.56,5.55,1.08,84.0,1
117,age,3,3,4.38,0.11681366784080661,0.129766110259435,0.07369083821007329,0.11172980806924404,2.86,5.78,79.2,20.0,0
118,agency,6,7,10.58,0.26487441032703907,0.07124374806954477,0.5274327290480135,0.1378564402106911,3.87,5.14,19.43,52.0,0
119,agenda,6,7,9.95,0.6217323438831772,0.06193703592068448,0.6217323438831772,0.08516937169889235,2.66,5.05,7.31,39.0,0
120,agent,5,6,9.55,0.662152126695137,0.1780221833662457,0.6780238552307236,0.09159185188343161,3.61,5.23,102.65,35.0,0
121,aggravate,9,8,8.32,0.42514951779727156,0.2266249485072845,0.43727263331183275,0.10488095063438652,2.26,2.55,0.73,70.0,0
122,aggression,10,7,9.3,0.43012946192227897,0.1636889803671918,0.43012946192227897,0.12500374719623586,2.68,3.18,2.8,56.0,1
123,aggressive,10,8,8.32,0.5191749199767325,0.10677900518710669,0.5191749199767325,0.1284721298556901,2.54,3.08,7.94,63.0,1
124,aggressiveness,14,11,11.06,0.145092079588996,0.09107004639616678,0.1822309390480254,0.1205245397624014,2.59,3.58,0.39,99.0,1
125,aggressor,9,8,11.47,0.4644470716898322,0.12619289323033736,0.05257655740246694,0.1443867765613146,3.29,2.8,0.57,64.0,1
126,agile,5,5,11.94,0.15826781346943689,0.028898203332434338,0.09295009977257657,0.03890880046216534,2.31,5.95,0.39,40.0,0
127,agitate,7,7,10.17,0.3060228492398719,0.11729735911223346,0.3318226104570599,0.132915428627876,2.93,3.36,0.43,44.0,0
128,aglow,5,5,10.06,0.09767301088868022,0.093996195334545,0.1559032705382288,0.11469452585592474,2.29,5.84,0.47,38.0,0
129,agony,5,6,9.22,0.07983812637916582,0.0546227878628324,0.5030875890985465,0.08523990023730237,2.38,2.46,3.75,40.0,1
130,agree,5,5,7.68,0.502005692920452,0.07598464178597014,0.5058697076515869,0.10575728767959035,2.31,7.17,64.67,36.0,0
131,agreeable,9,7,8.41,0.5537758222819988,0.1269987832643698,0.032063953197375684,0.03877431598983857,2.07,6.9,1.59,71.0,1
132,agreement,9,9,8.16,0.4339037312156935,0.10579187648102815,0.4339037312156935,0.057231654635363755,2.22,6.75,17.49,67.0,1
133,ahoy,4,4,7.61,0.08838289274284267,0.06655814555503538,0.18040944821705218,0.07425708247947947,2.0,5.58,3.71,37.0,0
134,aid,3,3,7.33,0.09107218045202926,0.08572754038530567,0.24777022228973825,0.09012425648672248,3.1,6.29,13.9,20.0,0
135,aide,4,3,7.83,0.046250623911641635,0.09086712938802466,0.18687356071400352,0.07627378888982841,3.59,5.6,2.02,23.0,0
136,aids,4,4,8.89,0.055536048229943034,0.1077420143103829,0.12116750698358944,0.09967632037924747,3.44,1.33,1.06,21.0,0
137,ailing,6,5,10.63,0.1074369408088966,0.10025945626343873,0.06611118488329835,0.10469885265514393,2.81,2.95,0.51,21.0,0
138,ailment,7,7,10.37,0.446981729522091,0.09633643194496228,0.5562010610836131,0.06014076151794103,2.93,3.0,0.51,50.0,1
139,aim,3,3,6.72,0.10542253771879392,0.12879359979667057,0.5004312418855554,0.16457775628820792,3.27,5.95,14.86,20.0,0
140,air,3,3,3.94,0.1472089836767154,0.09998343736897433,0.2939298991515538,0.11149330637692573,4.11,6.71,139.02,20.0,0
141,aisle,5,3,5.95,0.408321110555989,0.05666180251072021,0.0634220219109947,0.10747135712763349,4.35,5.17,7.43,37.0,0
142,ajar,4,5,9.67,0.14058810075320005,0.09596698798812199,0.1175155504618526,0.07204529659045074,3.27,5.0,0.45,34.0,0
143,alabaster,9,11,13.67,0.10918163257202346,0.036623087952507814,0.053984354450972785,0.014955002057391614,3.81,5.5,0.67,73.0,0
144,alarm,5,5,6.39,0.42464020288751003,0.07704418025238863,0.3294021403001446,0.0743123864340592,4.47,3.86,29.84,37.0,0
145,alarming,8,7,9.78,0.4499337196649172,0.0810981634645183,0.05224779652687549,0.0710824671714003,2.07,3.52,1.14,41.0,0
146,albatross,9,9,11.64,0.6740808658400553,0.03120790541239812,0.6740808658400553,0.037474860316891824,4.81,5.68,0.78,78.0,0
147,albino,6,7,9.79,0.4947233011751088,0.10973563238592449,0.4947233011751088,0.08889194806000471,4.41,4.9,1.16,51.0,0
148,album,5,6,6.72,0.7190815278269529,0.06172281247135413,0.7706999999019988,0.11658716658270163,4.69,6.19,10.24,37.0,0
149,alcohol,7,8,9.0,0.5101247176826142,0.05973508608859137,0.4639605585877914,0.02703730421725376,4.76,4.11,16.57,62.0,0
150,alcoholic,9,11,9.95,0.45868272218206446,0.23552835242217424,0.4789943306838748,0.0925823650425712,3.37,2.49,6.2,71.0,1
151,alcoholism,10,12,11.6,0.13740313482554525,0.10337633713876007,0.028138029240164942,0.038303470860975596,2.93,2.0,0.84,88.0,1
152,alcove,6,6,12.11,0.5394494985608027,0.11203890493006734,0.5394494985608027,0.14062000819774376,4.08,5.5,0.47,49.0,0
153,ale,3,3,10.16,0.07661081456285619,0.10886882364681151,0.047174608202373076,0.11329511188660646,4.65,5.95,3.96,20.0,0
154,alert,5,5,8.9,0.4650251397336284,0.06316038878432256,0.4650251397336284,0.21177798485557434,2.59,5.38,20.61,37.0,0
155,alfalfa,7,8,8.83,0.10241693018244039,0.04596747196489745,0.05362945806827532,0.04227515784706474,4.69,4.79,0.65,70.0,0
156,algebra,7,8,11.47,0.7027363409662514,0.03552522418910247,0.10964993285372654,0.01745163299970651,3.14,5.4,1.76,58.0,0
157,algorithm,9,10,14.56,0.582506559060636,0.08600460557704881,0.7139097130895443,0.0758095294511491,3.07,5.3,0.53,80.0,0
158,alias,5,5,9.47,0.4305801746000297,0.043586740223597396,0.4305801746000297,0.035551603763358385,2.86,5.0,4.08,37.0,0
159,alibi,5,6,12.5,0.5271240728732296,0.08496276317188137,0.5518588597143032,0.13460528808678954,2.57,4.16,8.35,39.0,0
160,alien,5,6,7.5,0.6131663349088149,0.20517815289600655,0.6408425051350969,0.09024859391532247,3.52,4.45,17.43,35.0,0
161,alienate,8,8,13.05,0.3961953313826969,0.04628560298273285,0.43028987877533414,0.07974831875323142,1.83,2.79,0.57,56.0,1
162,alight,6,5,11.41,0.2828736794267268,0.12337884036812838,0.05125924345839282,0.11947129031693748,2.96,5.67,0.41,33.0,0
163,alimony,7,8,14.47,0.41292834405035567,0.11561816411333256,0.14542282630251482,0.053884332570419025,3.08,3.86,2.59,54.0,0
164,alive,5,5,5.11,0.12084350695837869,0.22070514325889326,0.18498484063067322,0.09180115617719085,3.14,6.57,154.47,34.0,1
165,alleged,7,6,12.05,0.5905246963289085,0.141516057141536,0.06952220195537213,0.08864468597812696,1.82,3.62,3.98,44.0,0
166,allergic,8,7,7.72,0.08588268513546045,0.07985273661667155,0.06335242782395052,0.02932263101861911,2.55,3.0,8.1,56.0,1
167,allergy,7,6,8.11,0.06656203201528389,0.122877192695099,0.6543946658755863,0.08590466474410136,3.68,2.9,1.69,53.0,1
168,alleviate,9,8,11.39,0.5410613117350203,0.13114793567956678,0.5835992639477097,0.08881274877088718,2.48,6.25,0.45,64.0,0
169,alley,5,4,7.26,0.2138217184877785,0.16428341984959027,0.23884203214049868,0.14730670880879396,4.82,4.17,16.29,31.0,0
170,alligator,9,9,4.78,0.5432634138755831,0.08518824311340864,0.08551849800075598,0.07593855134777361,4.96,4.23,3.49,68.0,0
171,allow,5,4,5.32,0.33020296887209954,0.11480910821220486,0.5066455888359248,0.30120583319098365,2.41,6.39,44.37,29.0,0
172,allowance,9,7,6.95,0.6693469359454036,0.08846805119673111,0.6693469359454036,0.08389051259371144,3.07,6.74,5.2,65.0,1
173,allure,6,6,11.83,0.10261362543963655,0.07150027308057956,0.14773130925560599,0.09427300841586972,1.92,6.9,0.59,48.0,0
174,alluring,8,8,12.89,0.07324671288709919,0.07397076147755131,0.05265368232432566,0.05001594610231971,2.07,6.74,0.41,51.0,0
175,almanac,7,8,10.58,0.010561091565246563,0.02004695229375286,0.04662348403128431,0.023452487360920978,4.44,5.55,0.84,59.0,0
176,almighty,8,7,8.47,0.1103876809189701,0.13156219572820863,0.19814114952055292,0.06775334004131531,1.9,6.15,8.75,53.0,1
177,almond,6,6,7.67,0.4572487428534442,0.08714644339368625,0.4572487428534442,0.04489360137758175,4.71,6.05,1.1,47.0,0
178,alone,5,5,4.94,0.20086052677054525,0.23542034846907134,0.19179459850806527,0.1949484991627402,2.86,3.85,308.53,34.0,0
179,aloof,5,5,13.41,0.11385225398399187,0.046085195844884866,0.09750367298743584,0.0628206255175765,1.46,4.59,0.65,39.0,0
180,alpha,5,5,12.22,0.14223327348572817,0.06718029566851082,0.2142275891742999,0.056604327946172796,1.81,5.5,8.12,42.0,0
181,alphabet,8,8,4.22,0.26339614977474124,0.022415122352431423,0.04721825086862555,0.030570160101482696,4.31,5.95,2.49,76.0,0
182,alpine,6,6,11.28,0.02552261029605894,0.038157631520057814,0.05342093131200601,0.09255135520989582,3.7,5.84,1.27,39.0,1
183,altar,5,6,7.16,0.1352481763159726,0.16615010545197445,0.09692348701578676,0.1763471621928218,4.85,5.59,5.08,35.0,0
184,alter,5,6,9.47,0.22155675715546477,0.13329156989086968,0.06798251078175367,0.24393151525782586,3.07,4.57,4.78,28.0,0
185,aluminum,8,9,7.26,0.19976756654978567,0.1061223114278731,0.05030101666473736,0.039674144366652765,4.88,5.1,2.25,67.0,0
186,amateur,7,7,10.53,0.5844554543949805,0.04086459538533559,0.049947309104246836,0.07491895644527649,2.31,4.58,6.55,56.0,0
187,amaze,5,5,7.5,0.354861952253564,0.053494797556893965,0.26170672033251874,0.10405091665892596,2.0,7.24,1.61,37.0,0
188,amazed,6,6,7.17,0.09184767331334284,0.1026056854703309,0.0944495495424047,0.08784979235528881,1.52,7.55,5.12,38.0,0
189,amazement,9,9,9.22,0.0601676112385857,0.030292414032009232,0.08967256297322687,0.053064384177100396,1.89,7.29,0.71,60.0,1
190,amazing,7,7,5.22,0.47843454519743545,0.08022564132872038,0.47843454519743545,0.07676047614550692,1.55,7.72,81.71,42.0,0
191,ambassador,10,10,11.0,0.47129298118103025,0.11618903027269731,0.041894277398059475,0.1294581875376072,4.28,5.5,13.51,89.0,1
192,amber,5,6,9.28,0.09034856843245732,0.1755079842592675,0.1369645742834544,0.053908415527470395,4.35,6.15,9.27,34.0,0
193,ambience,8,7,13.28,0.09047118686256941,0.07111184698449984,0.07398520124073137,0.044342616556982774,1.72,6.35,0.73,58.0,0
194,ambient,7,7,12.8,0.10927594695121749,0.022843386283334287,0.051540515224717975,0.03547612904534229,2.04,6.33,0.51,56.0,0
195,ambition,8,7,11.29,0.6741342023608328,0.05856145261986115,0.6741342023608328,0.06142487669004099,1.74,7.28,5.35,55.0,1
196,ambitious,9,8,11.05,0.3713056041890823,0.1083006357328546,0.11919365916650412,0.07087544268650485,1.81,6.33,4.76,65.0,1
197,ambush,6,6,9.3,0.4927580320438687,0.0985205451713901,0.4927580320438687,0.1810742387379561,3.16,3.17,5.43,49.0,0
198,amend,5,6,11.39,0.46053693855257466,0.1930335368550088,0.21021962817153084,0.19178597468986283,2.32,5.85,0.75,35.0,0
199,amendment,9,10,10.06,0.6360675794753224,0.11640394819271808,0.6360675794753224,0.20345657171246354,2.44,5.6,4.1,69.0,1
200,amends,6,7,10.16,0.2032731042022317,0.07178943097917119,0.05010645323938841,0.20580076379342027,1.92,6.68,1.84,38.0,0
201,amiable,7,7,13.11,0.169742093180094,0.15051453722347488,0.06867770074071843,0.052777821743719366,2.39,6.7,0.59,42.0,0
202,ammo,4,4,8.11,0.11125461368527781,0.054835224808023525,0.09389258319533876,0.13000175478261553,4.85,4.18,5.37,39.0,0
203,ammonia,7,7,11.0,0.07256373876289307,0.03509628462151269,0.08623634634384762,0.03450276943126833,4.44,3.74,1.49,56.0,0
204,ammunition,10,10,9.67,0.08522300858608668,0.06981567491447,0.15493033942997078,0.04047781226760849,4.88,4.59,5.88,70.0,0
